task,predictor,retrieval,hit@1,hit@5,mrr,ndcg@10,mean_rank,n_queries
crossline,average_effect,mean_cosine,0.8791666666666667,1.0,0.9354166666666667,0.9521307680505979,1.1458333333333333,720
crossline,average_effect,r2,0.8986111111111111,0.9541666666666667,0.9272106769956123,0.934023330528039,1.9555555555555555,720
crossline,average_effect,dart_energy,0.8986111111111111,0.9541666666666667,0.9262228122369142,0.9325377214817634,2.0125,720
crossline,average_effect,dart_coverage,0.8875,0.9222222222222223,0.9057427932325682,0.9090069004570404,2.636111111111111,720
crossline,nearest_neighbor,mean_cosine,0.9888888888888889,1.0,0.994212962962963,0.9957173726041669,1.0125,720
crossline,nearest_neighbor,r2,0.8125,0.8972222222222223,0.8518677304021358,0.8682356781752352,2.6333333333333333,720
crossline,nearest_neighbor,dart_energy,0.7736111111111111,0.8305555555555556,0.8067041099098973,0.814671209828485,3.973611111111111,720
crossline,nearest_neighbor,dart_coverage,0.3194444444444444,0.4722222222222222,0.40811435987064887,0.42797502850489416,10.873611111111112,720
crossline,scgen,mean_cosine,0.6888888888888889,0.9819444444444444,0.8143912189163415,0.8590850666470626,1.6333333333333333,720
crossline,scgen,r2,0.6930555555555555,0.8916666666666667,0.7875949596654086,0.8162758165503844,3.151388888888889,720
crossline,scgen,dart_energy,0.6736111111111112,0.8972222222222223,0.7786011651333987,0.8121833693091643,3.0,720
crossline,scgen,dart_coverage,0.6694444444444444,0.8166666666666667,0.7417277159599805,0.7641425847372584,4.381944444444445,720
